,order_id,store_id,store_name,store_segment,store_latitude,store_longitude,channel_id,channel_name,channel_type,payment_order_id,payment_method,payment_status,delivery_order_id,delivery_distance_meters,delivery_status,driver_id,driver_modal,driver_type,order_status,order_amount,order_moment_created,order_moment_in_expedition,order_moment_finished,hub_id,hub_name,hub_city,hub_state,hub_latitude,hub_longitude
0,68410055,2181,LILI CISRUMACS ,GOOD,-22.887521,-43.283366,35,BRAZIL PLACE,MARKETPLACE,68410055,"VOUCHER, ONLINE",PAID,68410055,1035.0,DELIVERED,10239.0,BIKER,FREELANCE,FINISHED,394.8,2021-01-01 02:32:51,2021-01-02 18:31:15,2021-01-02 18:57:34,13,HIP HOP SHOPPING,RIO DE JANEIRO,RJ,-22.885819899999998,-43.2792183
2,68412721,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68412721,ONLINE,PAID,68412721,5714.0,DELIVERED,8378.0,MOTOBOY,FREELANCE,FINISHED,195.05,2021-01-01 14:12:11,2021-01-01 14:39:05,2021-01-01 16:12:36,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
3,68413340,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68413340,ONLINE,PAID,68413340,5199.0,DELIVERED,8378.0,MOTOBOY,FREELANCE,FINISHED,46.9,2021-01-01 14:14:51,2021-01-01 14:39:02,2021-01-01 15:31:54,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
4,68414018,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68414018,ONLINE,PAID,68414018,3746.0,DELIVERED,10463.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,45.8,2021-01-01 14:17:31,2021-01-01 14:55:16,2021-01-01 15:09:20,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
5,68414309,236,IUMPICA ,FOOD,-22.885819899999998,-43.2792183,5,FOOD PLACE,MARKETPLACE,68414309,ONLINE,PAID,68414309,410.0,DELIVERED,2473.0,BIKER,FREELANCE,FINISHED,94.9,2021-01-01 14:21:02,2021-01-01 14:42:09,2021-01-01 14:50:20,13,HIP HOP SHOPPING,RIO DE JANEIRO,RJ,-22.885819899999998,-43.2792183
6,68414512,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68414512,ONLINE,PAID,68414512,5514.0,DELIVERED,26154.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,45.9,2021-01-01 14:24:01,2021-01-01 14:46:14,2021-01-01 15:49:47,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
8,68415103,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68415103,ONLINE,PAID,68415103,3924.0,DELIVERED,16430.0,BIKER,FREELANCE,FINISHED,103.6,2021-01-01 14:31:33,2021-01-01 14:56:49,2021-01-01 15:38:55,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
9,68415140,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68415140,ONLINE,PAID,68415140,2880.0,DELIVERED,9996.0,BIKER,FREELANCE,FINISHED,187.4,2021-01-01 14:31:52,2021-01-01 15:05:19,2021-01-01 16:06:40,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
10,68415344,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68415344,ONLINE,PAID,68415344,5385.0,DELIVERED,26154.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,83.4,2021-01-01 14:33:32,2021-01-01 14:56:57,2021-01-01 16:18:52,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
11,68415457,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68415457,ONLINE,PAID,68415457,340.0,DELIVERED,9996.0,BIKER,FREELANCE,FINISHED,136.8,2021-01-01 14:34:13,2021-01-01 15:05:15,2021-01-01 15:23:34,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
12,68415474,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68415474,ONLINE,PAID,68415474,3854.0,DELIVERED,26154.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,158.3,2021-01-01 14:34:53,2021-01-01 15:05:22,2021-01-01 15:59:50,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
15,68415947,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68415947,ONLINE,PAID,68415947,5951.0,DELIVERED,9392.0,MOTOBOY,FREELANCE,FINISHED,25.9,2021-01-01 14:37:42,2021-01-01 15:12:01,2021-01-01 15:36:01,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
16,68416059,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68416059,"ONLINE, ONLINE",PAID,68416059,1450.0,DELIVERED,9996.0,BIKER,FREELANCE,FINISHED,163.3,2021-01-01 14:38:11,2021-01-01 15:12:44,2021-01-01 15:32:28,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
18,68416226,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68416226,ONLINE,PAID,68416226,2353.0,DELIVERED,15156.0,MOTOBOY,FREELANCE,FINISHED,31.4,2021-01-01 14:40:01,2021-01-01 15:15:40,2021-01-01 15:31:49,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
19,68416227,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68416227,ONLINE,PAID,68416227,5796.0,DELIVERED,10514.0,MOTOBOY,FREELANCE,FINISHED,25.9,2021-01-01 14:40:11,2021-01-01 15:18:36,2021-01-01 15:31:49,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
20,68416230,1016,PIPS ,FOOD,-30.085743,-51.245996999999996,5,FOOD PLACE,MARKETPLACE,68416230,ONLINE,PAID,68416230,3784.0,DELIVERED,7615.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,39.8,2021-01-01 14:40:41,2021-01-01 14:47:10,2021-01-01 14:57:36,36,BLACK SHOPPING,PORTO ALEGRE,RS,-30.085743,-51.245996999999996
21,68416397,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68416397,ONLINE,PAID,68416397,4425.0,DELIVERED,7396.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,29.0,2021-01-01 14:44:12,2021-01-01 15:18:41,2021-01-01 15:43:13,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
23,68417307,955,CIRIROI U CAI ,FOOD,-22.926904,-43.572533,5,FOOD PLACE,MARKETPLACE,68417307,ONLINE,PAID,68417307,1699.0,DELIVERED,25575.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,41.9,2021-01-01 14:54:09,2021-01-01 15:14:30,2021-01-01 15:39:49,51,RUBY SHOPPING,RIO DE JANEIRO,RJ,-22.923675,-43.5677575
24,68417497,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68417497,ONLINE,PAID,68417497,4704.0,DELIVERED,10514.0,MOTOBOY,FREELANCE,FINISHED,28.0,2021-01-01 14:55:41,2021-01-01 15:46:49,2021-01-01 16:00:48,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
25,68417544,399,PIARO ,FOOD,-22.8843321,-43.283366,5,FOOD PLACE,MARKETPLACE,68417544,DEBIT_STORE,PAID,68417544,2472.0,DELIVERED,8456.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,99.4,2021-01-01 14:56:32,2021-01-01 15:36:52,2021-01-01 19:19:21,13,HIP HOP SHOPPING,RIO DE JANEIRO,RJ,-22.885819899999998,-43.2792183
26,68417646,955,CIRIROI U CAI ,FOOD,-22.926904,-43.572533,5,FOOD PLACE,MARKETPLACE,68417646,DEBIT,PAID,68417646,1014.0,DELIVERED,29669.0,MOTOBOY,FREELANCE,FINISHED,54.9,2021-01-01 14:58:04,2021-01-01 15:14:34,2021-01-01 15:30:26,51,RUBY SHOPPING,RIO DE JANEIRO,RJ,-22.923675,-43.5677575
27,68417778,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68417778,ONLINE,PAID,68417778,3112.0,DELIVERED,17907.0,MOTOBOY,FREELANCE,FINISHED,32.4,2021-01-01 14:59:12,2021-01-01 15:40:47,2021-01-01 15:55:56,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
28,68417787,3528,ZIM M MUMEUR ,FOOD,-22.927335999999997,-43.572533,5,FOOD PLACE,MARKETPLACE,68417787,"VOUCHER, ONLINE",PAID,68417787,2122.0,DELIVERED,26879.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,74.9,2021-01-01 15:01:54,2021-01-01 17:03:21,2021-01-01 17:27:26,51,RUBY SHOPPING,RIO DE JANEIRO,RJ,-22.923675,-43.5677575
